File Name;Define Information;Define Location;STBME;STBMO;STBMS;STBUG;STCDN;STDEV;STDIF;STECT;STEFF;STFCO;STFNC;STHAL;STM20;STM21;STM22;STM28;STM33;STOPN;STOPT;STSCT;STSHN;STTDE;STTDO;STTDS;STTLN;STTOT;STTPP;STVAR;STVOL;STZIP
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/flcompare.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/flcompare.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/flcompare.c";0,512;0,436;0,486;4;3,922;38,35;42,33;0;230092;14;2;227;95;872;30;13;5;29;20;0;754;2,019;1,824;1,943;60;968;197;25;5435;219
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/svd.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/svd.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/svd.c";2,415;1,692;2,067;17;0,6;365,18;76,28;0;2191097;44;7;1373;1155;2608;213;30;14;161;37;5;4963;3,315;3,053;3,223;472;3765;717;61;28725;1161
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_H_from_x_lin.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_H_from_x_lin.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_H_from_x_lin.c";1,661;1,22;1,458;12;0,643;208,36;60,02;0;1250144;19;4;2542;665;1832;107;25;7;291;32;3;9382;2,941;2,696;2,853;212;2499;525;57;20830;2053
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_condition_2d.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_condition_2d.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_condition_2d.c";0,352;0,314;0,342;5;8,478;59,17;74,48;0;355039;12;1;185;60;823;9;11;2;23;19;0;607;1,79;1,609;1,718;15;884;144;14;4767;181
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Framework/CoreLibs/platform/platform/PlatformHelper.h";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_conditioner_from_pts.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_conditioner_from_pts.c";"C:/_mks/L2H0480/KP03_ProductEngineering/40_Software/20_Construction/L2H0480_780B/PuC/App/code/Apps/EOLIntgr/EOL/vgg_conditioner_from_pts.c";0,491;0,42;0,467;7;3,926;94,78;87,04;0;568652;14;1;316;132;960;24;16;8;38;25;0;1068;1,991;1,797;1,915;45;1093;190;16;6533;297
